t,data
0,1.1018833569773
0.001,1.16669425072975
0.002,0.962057656949818
0.003,1.11810866601841
0.004,1.09093826199295
0.005,1.00961558518474
0.006,1.05332039888472
0.007,1.09213122332693
0.008,1.25391984698629
0.009,1.21347185149424
0.01,1.00750565299217
0.011,1.22674617331659
0.012,1.11127021124731
0.013,0.0718472563405171
0.014,0.110737145191305
0.015,0.0647516970850113
0.016,0.0687927825891843
0.017,0.149484880389273
0.018,0.145451724490024
0.019,0.145859620671481
0.02,0.108574856680404
0.021,0.0146256538657481
0.022,0.110861932566442
0.023,0.156511764458236
0.024,0.0994446885155894
0.025,0.126734650495893
0.026,0.111344256669162
0.027,0.0598279537606992
0.028,0.0896935733548329
0.029,0.0356358598120681
0.03,0.119419781587882
0.031,0.0176464946515424
0.032,0.0215564770915984
0.033,0.0345250652787562
0.034,0.927785791900255
0.035,1.14691901464075
0.036,1.09125952697281
0.037,1.03725358404151
0.038,1.14351492700476
0.039,0.989424179057315
0.04,1.06988787769573
0.041,1.06292764791963
0.042,1.09096033695827
0.043,1.09064292983187
0.044,1.03175600413378
0.045,1.07349743519019
0.046,0.066756049039548
0.047,0.106385364376436
0.048,0.129663283451974
0.049,0.13046366488072
0.05,0.0318173589005643
0.051,0.0788679545565212
0.052,0.0142941478192296
0.053,0.0193249629256618
0.054,0.0746575335948325
0.055,0.151631515414237
0.056,0.0365167043123159
0.057,0.0935689406380029
0.058,0.0637207798864373
0.059,0.130867806940723
0.06,0.0205467852473882
0.061,0.0766278732082487
0.062,0.102626351055611
0.063,0.130030510894043
0.064,0.152210594775197
0.065,0.0792965566587712
0.066,0.000420484468119486
0.067,1.03788490813701
0.068,1.021920913334
0.069,1.1925228612001
0.07,1.04421990592666
0.071,1.1124038391852
0.072,1.06537907447059
0.073,1.11943052127104
0.074,1.03675753817161
0.075,1.00488655153306
0.076,1.00388120374543
0.077,1.099409695493
0.078,1.06613124216906
0.079,1.06519732560963
0.08,0.145965507532127
0.081,0.0895792186992091
0.082,0.084890552673218
0.083,0.154384954498703
0.084,0.0347767021825226
0.085,0.10983122079248
0.086,0.116754408253634
0.087,0.0628142429811024
0.088,0.0857835043201872
0.089,0.0167078034258975
0.09,0.0176023610550703
0.091,0.0802437358008247
0.092,0.11111270161125
0.093,0.204274562630812
0.094,0.0416554664649307
0.095,0.0843665512289469
0.096,0.0708752787314522
0.097,-0.0216511458925494
0.098,0.0530516923032613
0.099,-0.0147339420727562
0.1,1.1170187764877
0.101,1.03059839588355
0.102,1.08000464165697
0.103,1.04777355350047
0.104,1.09017603973247
0.105,1.04498367189331
0.106,1.0994982660587
0.107,1.11196815618022
0.108,1.16059438914908
0.109,1.06529382321209
0.11,0.968082236528003
0.111,1.03302056263317
0.112,1.14272971640023
0.113,0.0213922355807874
0.114,0.123047693487028
0.115,0.0812024900001596
0.116,0.146834831135947
0.117,-0.0230449999682517
0.118,0.0651150887012925
0.119,0.01460772573701
0.12,0.220400401536468
0.121,0.116260944711425
0.122,0.143948598895831
0.123,0.0220909871006318
0.124,0.0515692209449687
0.125,0.0613765295374906
0.126,0.129921230894431
0.127,0.061106403360618
0.128,0.110077072908164
0.129,-0.0275908149955575
0.13,0.0573075001112783
0.131,0.0338206737421574
0.132,-0.00385285113996015
0.133,0.100398732545297
0.134,1.08909920318353
0.135,1.07667399411222
0.136,1.00831610282859
0.137,1.13137461391708
0.138,1.09250897053017
0.139,1.06004669848335
0.14,1.07614448963758
0.141,1.0619002282517
0.142,0.98748938157766
0.143,1.06071745142023
0.144,1.03343167442162
0.145,1.02603968474163
0.146,0.0171799172167999
0.147,0.0483221445342006
0.148,-0.0251317867941531
0.149,0.123211471131581
0.15,0.101003005072773
0.151,0.073998607417873
0.152,0.0732614456985758
0.153,0.0350918207717928
0.154,0.125934264106429
0.155,0.0683391260246132
0.156,0.039273491810642
0.157,0.142569288421333
0.158,0.0637614471973708
0.159,0.0455485484639599
0.16,0.0603123201132292
0.161,0.0326036878181033
0.162,0.0189935849378136
0.163,0.201299984605915
0.164,0.157774879644367
0.165,0.0903767579619126
0.166,0.0121440820323973
0.167,1.03172659847226
0.168,1.06617329428843
0.169,1.11457080308143
0.17,1.00839977893424
0.171,0.958506642209746
0.172,1.00254513535806
0.173,1.09167554165329
0.174,1.09456768022164
0.175,1.09758397094641
0.176,1.06848576734271
0.177,1.0841844547931
0.178,1.05119234916905
0.179,1.11810108057785
0.18,0.00691527645646228
0.181,0.0977514778222167
0.182,0.032564531003317
0.183,0.0582556530517976
0.184,0.102639167297227
0.185,0.126954532675248
0.186,0.0191180658367396
0.187,0.138032935456045
0.188,0.108007157052349
0.189,0.0716067223228656
0.19,0.0652389401050623
0.191,0.0641196824928404
0.192,0.0598446189324129
0.193,0.0761522812212552
0.194,0.0775645177924387
0.195,0.11630313951058
0.196,0.151348834336669
0.197,0.098345721784235
0.198,0.0645143330805631
0.199,0.106259517854381
0.2,1.08416136315007
0.201,1.02351162282167
0.202,1.12246109155655
0.203,1.09035309595734
0.204,1.08175874710497
0.205,1.10076231677624
0.206,1.08807031620277
0.207,1.02792571145223
0.208,1.06688311635981
0.209,1.06769726828342
0.21,1.04839943115956
0.211,1.15910517973316
0.212,1.031213532692
0.213,0.0508092474944939
0.214,0.0393997725486288
0.215,0.0162893834271591
0.216,0.0653880241230362
0.217,0.0612964885033699
0.218,0.151503625721205
0.219,0.0625487628743142
0.22,0.0217893293555336
0.221,0.155172864906002
0.222,0.136733957344539
0.223,0.0635186774518409
0.224,-0.000307985198986005
0.225,0.0527686091776507
0.226,0.0672029482137615
0.227,0.0888034126965768
0.228,0.061941817711176
0.229,0.0971710956452045
0.23,0.0945947104716224
0.231,0.0124660546586796
0.232,0.0276019538834283
0.233,0.0379446953029794
0.234,1.04960912248609
0.235,1.05897122466999
0.236,1.07562345206808
0.237,0.923541132929793
0.238,1.05214926795642
0.239,1.13712242031954
0.24,1.02166493005076
0.241,1.12168640813356
0.242,1.09251605006781
0.243,1.07354971181456
0.244,1.0841226083753
0.245,0.996747199292464
